,year,country_id,country_txt_wb,country_txt_gtd,country_code,region,region_txt,arrivals,population,tourism_rank_2012,tourism_group,incident_id,nkill,nkillus,nkillte,nwound,nwoundus,nwoundte,nvictim,nvictimus,nvictimte,event_ct_total
84,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201210200033.0,1.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,5
85,2012,93,Indonesia,Indonesia,IDN,5.0,Southeast Asia,8044000,248452413,33,,201210220011.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2
86,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201210240013.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
87,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201210220015.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
88,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201210240012.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
89,2012,209,Turkey,Turkey,TUR,10.0,Middle East & North Africa,35698000,74653016,6,high,201210280028.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
90,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201210310016.0,2.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,2
91,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201211030018.0,3.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0,0.0,2
92,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201211050011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
93,2012,18,Bahrain,Bahrain,BHR,10.0,Middle East & North Africa,8062000,1299943,32,,201211050025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
94,2012,18,Bahrain,Bahrain,BHR,10.0,Middle East & North Africa,8062000,1299943,32,,201211050012.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4
95,2012,205,Thailand,Thailand,THA,5.0,Southeast Asia,22354000,67835957,15,,201211070033.0,3.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,2
96,2012,92,India,India,IND,6.0,South Asia,6578000,1265782790,41,,201211090008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
97,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201211110033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
98,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201211170019.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,2
99,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201211180038.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1
100,2012,97,Israel,Israel,ISR,10.0,Middle East & North Africa,2886000,7910500,60,,201211180032.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1
