year_gtd,country_gtd,incident_ct_total,nkill_total,nkillus_total,nkillter_total,nwound_total,nwoundus_total,nwoundte_total
2015,110,1,47.0,3.0,3.0,238.0,0.0,0.0
2015,113,30,88.0,0.0,10.0,161.0,0.0,0.0
2015,121,1,0.0,0.0,0.0,0.0,0.0,0.0
2015,123,8,35.0,0.0,6.0,7.0,0.0,0.0
2015,130,1,0.0,0.0,0.0,0.0,0.0,0.0
2015,138,6,2.0,0.0,1.0,2.0,0.0,0.0
2015,141,4,0.0,0.0,0.0,0.0,0.0,0.0
2015,146,9,175.0,0.0,109.0,43.0,0.0,0.0
2015,147,181,1803.0,0.0,233.0,921.0,0.0,0.0
2015,153,34,34.0,0.0,3.0,92.0,0.0,0.0
2015,155,3,3.0,0.0,0.0,1.0,0.0,0.0
2015,158,2,2.0,0.0,0.0,0.0,0.0,0.0
2015,159,1,2.0,0.0,0.0,0.0,0.0,0.0
2015,160,35,20.0,0.0,1.0,28.0,0.0,5.0
2015,173,2,5.0,0.0,1.0,2.0,0.0,0.0
2015,182,14,42.0,0.0,5.0,25.0,0.0,0.0
2015,195,45,139.0,0.0,0.0,135.0,0.0,0.0
2015,198,2,0.0,0.0,0.0,0.0,0.0,0.0
2015,200,101,1475.0,0.0,296.0,2092.0,0.0,0.0
2015,202,2,10.0,0.0,2.0,8.0,0.0,3.0
2015,203,1,0.0,0.0,0.0,0.0,0.0,0.0
2015,205,45,13.0,0.0,0.0,78.0,0.0,0.0
2015,208,1,4.0,0.0,1.0,11.0,0.0,1.0
2015,209,28,27.0,0.0,7.0,166.0,0.0,0.0
2015,214,17,27.0,0.0,0.0,74.0,0.0,0.0
2015,217,2,6.0,6.0,1.0,2.0,2.0,0.0
2015,228,50,557.0,1.0,76.0,1215.0,0.0,21.0
2015,229,39,98.0,0.0,14.0,20.0,0.0,0.0
2015,603,3,0.0,0.0,0.0,0.0,0.0,0.0
2015,1004,1,2.0,0.0,1.0,0.0,0.0,0.0
2016,4,94,666.0,0.0,395.0,624.0,0.0,164.0
2016,19,3,0.0,0.0,0.0,0.0,0.0,0.0
2016,21,2,35.0,4.0,3.0,270.0,8.0,0.0
2016,33,2,34.0,1.0,4.0,33.0,0.0,0.0
2016,34,8,10.0,0.0,0.0,42.0,0.0,0.0
2016,37,10,58.0,0.0,10.0,103.0,0.0,0.0
2016,41,4,12.0,0.0,0.0,1.0,0.0,0.0
2016,43,2,0.0,0.0,0.0,0.0,0.0,0.0
2016,44,2,0.0,0.0,0.0,1.0,0.0,0.0
2016,45,11,3.0,0.0,0.0,10.0,0.0,0.0
2016,47,1,17.0,0.0,12.0,0.0,0.0,0.0
2016,60,10,12.0,0.0,0.0,20.0,0.0,0.0
2016,65,2,268.0,0.0,60.0,80.0,0.0,0.0
2016,69,2,0.0,0.0,0.0,0.0,0.0,0.0
2016,75,6,13.0,0.0,0.0,48.0,2.0,0.0
2016,78,2,0.0,0.0,0.0,0.0,0.0,0.0
2016,92,64,21.0,0.0,0.0,33.0,0.0,0.0
2016,93,1,9.0,0.0,5.0,26.0,0.0,0.0
2016,95,108,903.0,1.0,202.0,1169.0,0.0,29.0
2016,97,5,2.0,1.0,1.0,110.0,0.0,0.0
2016,102,2,14.0,0.0,4.0,31.0,0.0,0.0
2016,103,1,10.0,0.0,4.0,11.0,0.0,1.0
2016,104,10,17.0,0.0,0.0,24.0,0.0,0.0
